"Befolkningens udvikling efter bevægelsesart, køn, område og tid"

" "," "," ","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Befolkningen ultimo indeværende år"
" ","Mænd"
" "," ","Gribskov",20263,20323,20403,20409,20455,20446,20450,20506,20533,20633,20688,20644,20573,20543,20539,20592
" "," ","Halsnæs",15439,15472,15561,15621,15609,15581,15478,15381,15404,15539,15606,15690,15742,15775,15774,15744
" "," ","Helsingør",31164,31076,31183,31260,31346,31429,31495,31528,31609,31829,31971,32212,32177,32287,32469,32467
" "," ","Hillerød",23671,23785,24093,24251,24512,24680,24741,24953,25084,25312,25484,25698,25858,25967,26218,27104
" "," ","Hørsholm",12806,12805,12843,12883,12921,12916,13024,13113,13166,13257,13211,13262,13241,13115,13148,13128
" "," ","Rudersdal",27882,27870,27887,28197,28337,28232,28297,28369,28460,28609,28853,28824,29040,29087,29216,29231
" "," ","Bornholm",21805,21737,21566,21345,21156,20924,20587,20350,20112,20069,20043,20010,19980,19939,19967,19992
" "," ","Christiansø",46,47,46,48,45,49,43,42,43,43,34,39,42,36,40,43
" "," ","Greve",24115,24201,24280,24246,24347,24285,24317,24392,24741,25083,25317,25343,25429,25547,25573,25689
" "," ","Køge",28495,28640,28740,28908,28969,28989,29205,29497,29981,30191,30263,30367,30551,30640,30908,31042
" "," ","Lejre",13183,13321,13431,13430,13437,13517,13478,13528,13591,13645,13684,13840,13912,14028,14161,14400
" "," ","Roskilde",41298,41100,41377,41720,41998,42298,42537,42878,43230,43769,44159,44439,44556,44826,45323,45593
" "," ","Solrød",10502,10504,10504,10574,10607,10722,10711,10799,10904,10985,11172,11389,11665,11777,11869,12079
" "," ","Faxe",17604,17720,17679,17599,17613,17463,17450,17431,17453,17487,17696,17793,17954,17979,18000,18195
" "," ","Guldborgsund",32018,32062,31837,31630,31563,31157,30795,30640,30530,30557,30623,30599,30492,30393,30251,30170
" "," ","Holbæk",34567,34913,35203,35277,35220,35209,35085,34987,34917,35362,35743,35709,35836,35928,36144,36624
" "," ","Kalundborg",24711,24778,24823,24585,24471,24245,24104,24091,24128,24228,24179,24337,24245,24151,24172,24042
" "," ","Lolland",24186,24017,23808,23412,22991,22605,22214,21666,21361,21147,20959,20753,20580,20306,20074,19870
" "," ","Næstved",40703,40967,41126,41100,41110,41093,41160,41341,41331,41596,41644,41834,41808,41886,41862,42200
" "," ","Odsherred",16479,16546,16582,16551,16479,16334,16208,16289,16300,16337,16486,16513,16523,16428,16451,16396
" "," ","Ringsted",15887,16162,16350,16393,16543,16665,16706,16806,16867,16939,17015,17176,17286,17309,17305,17400
" "," ","Slagelse",38853,39092,38992,38943,38958,38910,38870,38748,38890,39267,39541,39635,39696,39704,39806,40086
" "," ","Sorø",14592,14679,14837,14863,14788,14751,14678,14669,14729,14757,14764,14775,14834,14889,14949,14989
" "," ","Stevns",10835,10882,10897,10896,10863,10879,10825,10825,10907,11017,11086,11193,11216,11264,11411,11610
" "," ","Vordingborg",23518,23565,23558,23479,23396,23237,23050,22891,22954,23141,23303,23243,23099,22937,22749,22686
" "," ","Assens",20949,21070,21071,21044,20823,20750,20626,20494,20479,20499,20568,20523,20500,20405,20328,20336
" "," ","Faaborg-Midtfyn",25848,25985,26031,26073,25995,25814,25654,25476,25393,25489,25538,25604,25681,25674,25791,25836
" "," ","Kerteminde",11872,11898,11985,12002,11975,11997,12039,11990,12019,12058,12022,11977,12018,12063,12104,12178
" "," ","Langeland",6973,6882,6788,6763,6654,6537,6429,6348,6299,6221,6251,6286,6206,6176,6107,6052
" "," ","Middelfart",18495,18726,18907,18938,18956,18884,18817,18901,18941,18957,19076,19123,19231,19441,19496,19755
" "," ","Nordfyns",14411,14572,14635,14648,14552,14438,14384,14358,14265,14438,14516,14514,14627,14660,14614,14682
" "," ","Nyborg",15882,15959,15959,15957,15918,15909,15796,15845,15988,16105,16263,16198,16172,16205,16161,16228
" "," ","Odense",95361,95470,95911,96278,96974,97553,98385,99391,100217,100953,101630,102405,103143,103418,103861,104091
" "," ","Svendborg",29637,29798,29780,29687,29625,29511,29372,29221,29163,29245,29380,29441,29385,29319,29491,29742
" "," ","Ærø",3420,3358,3343,3328,3305,3299,3260,3196,3135,3116,3067,3084,3037,2974,2957,3005
" "," ","Billund",12982,12994,13027,13000,13019,13041,13097,13067,13034,13050,13123,13142,13187,13209,13176,13146
" "," ","Esbjerg",57251,57197,57327,57552,57657,57627,57560,57493,57643,57729,57792,57845,57728,57592,57604,57547
" "," ","Fanø",1613,1620,1620,1642,1628,1659,1646,1662,1665,1676,1714,1739,1755,1797,1776,1761
" "," ","Fredericia",24663,24773,24846,24925,25062,25103,25242,25136,25125,25171,25301,25592,25662,25610,25563,25776
" "," ","Haderslev",28210,28298,28379,28272,28127,28217,28130,28052,27962,28020,28044,28030,27882,27762,27541,27461
" "," ","Kolding",43764,44015,44424,44751,44830,44888,45018,45263,45572,46035,46344,46386,46614,46646,46612,46765
" "," ","Sønderborg",38437,38509,38527,38406,38215,38174,38035,37813,37585,37482,37477,37426,37361,37121,36907,36817
" "," ","Tønder",20215,20240,20124,19843,19679,19505,19325,19093,18931,18839,18874,18783,18669,18533,18397,18241
" "," ","Varde",24639,24801,24962,24916,24898,24806,24664,24634,24678,24751,24771,24715,24684,24626,24454,24472
" "," ","Vejen",20639,20929,21145,21142,21078,21145,21062,20989,20913,21019,20954,20951,20955,20929,20972,20898
" "," ","Vejle",52536,52781,53271,53434,53867,54234,54656,55067,55376,55907,56573,57043,57348,57836,58356,59342
" "," ","Aabenraa",30183,30197,30285,30065,30000,29896,29672,29584,29516,29493,29538,29598,29572,29454,29335,29401
" "," ","Favrskov",22365,22622,22940,23072,23235,23432,23450,23418,23563,23556,23679,23925,23950,23976,24009,24242
" "," ","Hedensted",22170,22497,22652,22727,22665,22721,22646,22486,22664,22680,22828,22898,22917,22901,22907,23024
" "," ","Horsens",39547,40046,40651,40950,41373,41673,42217,42630,42894,43527,44056,44382,44690,45147,45829,46857
" "," ","Norddjurs",19068,19170,19069,18927,18838,18739,18729,18576,18536,18581,18553,18578,18373,18087,18018,18061
" "," ","Odder",10855,10897,10905,10950,10991,10967,11015,11004,11047,11144,11249,11371,11480,11588,11681,11834
" "," ","Randers",46863,47181,47444,47650,47909,48052,48172,48361,48587,48868,49053,49144,48941,48871,49099,49464
" "," ","Samsø",2122,2103,2057,2043,1988,1985,1933,1899,1880,1861,1864,1868,1847,1844,1841,1864
" "," ","Silkeborg",43569,43941,44152,44392,44639,44880,44862,45079,45215,45496,45752,46166,46699,47213,47943,48782
" "," ","Skanderborg",27714,28061,28349,28688,28885,29021,29099,29136,29450,29750,30241,30598,31044,31454,31816,32342
" "," ","Syddjurs",20526,20620,20717,20759,20902,20891,20886,20802,20743,20842,20833,21059,21242,21365,21486,21776
" "," ","Aarhus",151089,152312,154115,156173,158313,160076,162314,164739,165848,168036,170655,172902,175538,177989,179396,180650
" "," ","Herning",41681,41932,42383,42582,42804,43049,43258,43405,43342,43586,43814,43980,44004,44162,44203,44245
" "," ","Holstebro",28503,28591,28690,28611,28694,28674,28760,28788,28835,28860,29092,29228,29301,29326,29364,29288
" "," ","Ikast-Brande",19534,19624,19759,19845,19983,20019,19911,20003,19998,20084,20100,20197,20209,20246,20323,20471
" "," ","Lemvig",10930,10861,10786,10721,10625,10499,10395,10247,10097,9979,9945,9860,9804,9663,9592,9497
" "," ","Ringkøbing-Skjern",28594,28750,28897,28733,28614,28548,28316,28176,28100,28124,28101,28023,27969,27766,27634,27597
" "," ","Skive",23846,23856,23813,23739,23711,23474,23304,23135,23063,23034,22918,22928,22767,22514,22350,22143
" "," ","Struer",11188,11191,11237,11178,11006,10980,10838,10684,10644,10670,10608,10587,10535,10451,10336,10311
" "," ","Viborg",45567,45881,46243,46444,46530,46737,46947,47004,47182,47575,47875,48096,48146,48155,48047,48112
" "," ","Brønderslev",17584,17614,17715,17699,17707,17653,17620,17620,17606,17739,17787,17847,17894,17866,17829,17879
" "," ","Frederikshavn",31516,31412,31260,31032,30837,30602,30359,30187,30078,29970,29970,29822,29731,29545,29285,29185
" "," ","Hjørring",33721,33660,33642,33486,33264,33111,32961,32761,32671,32709,32613,32588,32285,32166,32030,31834
" "," ","Jammerbugt",19172,19239,19253,19192,19057,19016,18984,18902,18869,18941,19001,19061,18973,18933,18902,18917
" "," ","Læsø",1024,995,994,969,967,934,902,896,891,899,892,894,907,898,886,890
" "," ","Mariagerfjord",20991,21130,21182,21036,21004,20873,20757,20685,20750,20713,20693,20701,20680,20549,20378,20409
" "," ","Morsø",10996,10953,10936,10822,10724,10633,10484,10402,10297,10186,10228,10137,10093,10024,9899,9883
" "," ","Rebild",14063,14116,14146,14167,14210,14213,14181,14158,14163,14280,14416,14616,14721,14820,15010,15089
" "," ","Thisted",22636,22576,22579,22487,22380,22213,22024,21896,21850,21811,21727,21683,21631,21482,21370,21339
" "," ","Vesthimmerlands",18779,18857,18949,18799,18654,18538,18571,18494,18439,18350,18339,18281,18204,18053,17907,17904
" "," ","Aalborg",97375,97870,98404,98887,99797,100537,101526,102431,103393,104337,105079,105838,106757,107630,108843,109616

"Antal fødte i 2017 er rettet med 125 flere fødte den 21. februar "
"2018.  Hele tidsserien er den 11. maj 2016 revideret i forhold til "
"tidligere offentliggjorte tal. Se mere på "
"http://dst.dk/doku/flytninger-til-og-fra-udlandet "

